,sex,LSAT,UGPA,ZFYA,first_pf,Amerindian,Asian,Black,Hispanic,Mexican,Other,Puertorican,White
46,0.0,-0.141811865426216,0.17724771441792675,0.53,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,0.0,-0.141811865426216,-1.7543169263927503,-1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,0.0,0.22539416624185749,0.9015844547219315,1.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,0.0,-0.141811865426216,0.9015844547219315,1.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
51,0.0,-0.7844224208453445,-0.0641978656834071,0.76,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,1.0,-1.7942390079325465,0.6601388746205966,-1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
53,0.0,-0.141811865426216,-1.9957625064940854,0.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,1.0,-3.2630631346048404,-0.0641978656834071,-0.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,1.0,-0.5090178970942896,1.1430300348232665,1.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,1.0,-0.3254148812602527,-0.305643445784742,1.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,1.0,-1.0598269445963997,-0.0641978656834071,-0.82,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60,0.0,-0.141811865426216,-1.0299801860887468,-0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,0.0,-0.8762239287623629,-0.5470890258860769,-0.63,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
63,1.0,0.22539416624185749,1.1430300348232665,-0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
64,0.0,-0.5090178970942896,-0.0641978656834071,0.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65,0.0,0.22539416624185749,-1.0299801860887468,0.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66,1.0,-0.141811865426216,0.4186932945192616,0.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,1.0,0.9598062295780043,0.6601388746205966,-0.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
68,0.0,-1.4270329762644731,-2.2372080865954205,-0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,0.0,-1.0598269445963997,1.1430300348232665,-0.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,1.0,-2.5286510712686936,-1.5128713462914154,0.48,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.04179115040782076,1.3844756149246003,0.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
72,1.0,-0.6926209129283262,0.17724771441792675,-1.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,0.0,-0.3254148812602527,0.17724771441792675,-0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,0.0,-0.141811865426216,-0.0641978656834071,0.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
76,0.0,-0.23361337334323432,-1.9957625064940854,-0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
77,0.0,0.7762032137439676,0.4186932945192616,-0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78,1.0,-0.5090178970942896,0.6601388746205966,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
79,1.0,-1.7942390079325465,-0.7885346059874118,-0.77,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,0.0,-1.4270329762644731,0.17724771441792675,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
81,1.0,-0.6926209129283262,0.17724771441792675,1.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82,0.0,-0.8762239287623629,-0.7885346059874118,-0.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83,0.0,0.4089971820758942,-2.2372080865954205,0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
84,0.0,-2.5286510712686936,1.1430300348232665,-0.17,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1.0,0.4089971820758942,0.4186932945192616,-0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
86,1.0,0.4089971820758942,-0.5470890258860769,-0.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87,1.0,-0.8762239287623629,1.3844756149246003,-0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,0.0,-1.4270329762644731,0.17724771441792675,-1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,0.0,-1.0598269445963997,-0.5470890258860769,-1.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90,1.0,-0.141811865426216,0.17724771441792675,-0.49,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
91,0.0,-1.7942390079325465,-1.9957625064940854,-1.66,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92,0.0,-1.2434299604304364,0.6601388746205966,1.39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
94,0.0,0.22539416624185749,0.6601388746205966,2.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,1.0,-0.5090178970942896,-1.0299801860887468,-0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,0.0,0.04179115040782076,1.1430300348232665,1.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97,1.0,-0.141811865426216,-1.2714257661900805,-1.28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
98,0.0,1.1434092454120413,-0.5470890258860769,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
99,0.0,0.9598062295780043,-0.7885346059874118,-0.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
100,0.0,-0.6008194050113078,0.4186932945192616,0.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,0.0,-2.16144503960062,-0.7885346059874118,-0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,1.0,0.22539416624185749,0.4186932945192616,1.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103,0.0,0.9598062295780043,0.9015844547219315,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
104,0.0,0.04179115040782076,0.6601388746205966,-1.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106,0.0,-1.3352314683474547,0.6601388746205966,-0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107,0.0,0.7762032137439676,-0.305643445784742,-0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
108,1.0,0.22539416624185749,0.9015844547219315,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
109,1.0,0.9598062295780043,-0.0641978656834071,-0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
110,1.0,-0.23361337334323432,0.17724771441792675,2.26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,1.0,-0.141811865426216,0.9015844547219315,-0.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
112,1.0,0.4089971820758942,0.6601388746205966,-0.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
114,0.0,-1.6106359920985098,-0.7885346059874118,-1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115,1.0,0.9598062295780043,0.17724771441792675,-1.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
116,1.0,1.1434092454120413,0.6601388746205966,0.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
117,0.0,1.1434092454120413,-0.305643445784742,0.29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118,0.0,-0.3254148812602527,-0.0641978656834071,-0.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
120,0.0,0.5926001979099309,1.1430300348232665,-0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
121,1.0,0.9598062295780043,-1.7543169263927503,-0.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122,1.0,0.9598062295780043,-1.2714257661900805,-0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123,1.0,0.5926001979099309,1.1430300348232665,0.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
124,1.0,0.22539416624185749,0.6601388746205966,1.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
125,0.0,0.5926001979099309,0.17724771441792675,-0.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
126,1.0,0.4089971820758942,0.6601388746205966,0.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127,1.0,-0.141811865426216,0.9015844547219315,-0.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128,1.0,0.22539416624185749,0.9015844547219315,-0.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
129,0.0,-0.141811865426216,-0.5470890258860769,-1.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130,0.0,0.4089971820758942,-0.0641978656834071,-1.34,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
131,1.0,0.04179115040782076,1.6259211950259351,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132,0.0,-0.9680254366793812,-1.2714257661900805,0.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
133,1.0,0.7762032137439676,1.86736677512727,2.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
134,0.0,0.7762032137439676,-0.5470890258860769,-1.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
135,1.0,-0.141811865426216,0.17724771441792675,1.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
136,0.0,-0.3254148812602527,1.3844756149246003,-1.11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137,1.0,0.4089971820758942,1.1430300348232665,-1.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
138,1.0,0.04179115040782076,1.3844756149246003,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
140,0.0,0.04179115040782076,-0.305643445784742,-0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,0.0,-0.141811865426216,1.3844756149246003,-0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
142,0.0,0.5926001979099309,0.17724771441792675,-0.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144,1.0,1.5106152770801147,0.17724771441792675,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145,0.0,-0.3254148812602527,-1.5128713462914154,0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146,1.0,0.04179115040782076,0.9015844547219315,-0.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,0.0,0.5926001979099309,1.3844756149246003,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148,0.0,0.4089971820758942,0.4186932945192616,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149,0.0,-0.6926209129283262,1.6259211950259351,0.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150,0.0,0.5926001979099309,0.9015844547219315,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,0.0,0.22539416624185749,1.3844756149246003,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
152,1.0,0.7762032137439676,0.17724771441792675,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
153,0.0,-0.5090178970942896,-0.7885346059874118,-0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
154,0.0,0.5926001979099309,-0.305643445784742,1.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156,1.0,0.22539416624185749,0.17724771441792675,-0.02,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1.0,0.5926001979099309,-0.0641978656834071,1.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
158,0.0,-0.7844224208453445,0.4186932945192616,-0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,1.0,0.7762032137439676,0.4186932945192616,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,1.0,0.04179115040782076,0.6601388746205966,-0.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
161,0.0,0.7762032137439676,0.17724771441792675,1.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
162,1.0,0.4089971820758942,0.9015844547219315,-0.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
163,0.0,0.22539416624185749,0.6601388746205966,0.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
164,0.0,0.9598062295780043,-0.305643445784742,0.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
165,1.0,0.04179115040782076,0.9015844547219315,1.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
166,1.0,-0.8762239287623629,-1.0299801860887468,-1.28,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
167,1.0,0.4089971820758942,0.9015844547219315,-0.22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168,1.0,-0.8762239287623629,-1.0299801860887468,-1.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
169,0.0,0.7762032137439676,-0.305643445784742,-0.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
170,1.0,-0.141811865426216,1.1430300348232665,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
172,0.0,0.22539416624185749,0.4186932945192616,-1.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
173,0.0,-0.5090178970942896,0.17724771441792675,1.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
174,0.0,0.22539416624185749,0.9015844547219315,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
175,0.0,1.1434092454120413,-0.7885346059874118,0.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
176,1.0,-0.3254148812602527,1.1430300348232665,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
177,0.0,0.04179115040782076,0.9015844547219315,-0.77,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1.0,0.04179115040782076,1.6259211950259351,1.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179,0.0,0.5926001979099309,-0.0641978656834071,0.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
180,1.0,1.5106152770801147,-0.0641978656834071,1.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
181,0.0,0.5007986899929125,0.17724771441792675,0.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
182,0.0,0.5926001979099309,0.17724771441792675,2.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
184,1.0,0.22539416624185749,0.4186932945192616,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
185,0.0,0.5926001979099309,0.4186932945192616,1.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
186,1.0,-0.7844224208453445,-1.0299801860887468,-0.92,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
187,0.0,-0.141811865426216,1.1430300348232665,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
189,1.0,-1.2434299604304364,0.6601388746205966,-1.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
190,0.0,0.04179115040782076,1.1430300348232665,0.74,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
191,1.0,-0.23361337334323432,-0.5470890258860769,-1.73,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
192,1.0,-1.0598269445963997,0.4186932945192616,-0.23,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,-0.141811865426216,-1.2714257661900805,-0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
194,1.0,-0.3254148812602527,-0.7885346059874118,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
195,1.0,-1.5188344841814914,-0.0641978656834071,0.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
196,0.0,0.4089971820758942,-1.9957625064940854,0.16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
197,1.0,0.7762032137439676,1.6259211950259351,1.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
198,0.0,-1.4270329762644731,0.6601388746205966,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
199,0.0,-0.050010357509197606,-0.305643445784742,-0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
200,0.0,0.4089971820758942,1.3844756149246003,-0.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
201,0.0,-0.141811865426216,-0.5470890258860769,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
202,0.0,-0.141811865426216,-0.7885346059874118,-0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
203,0.0,-0.141811865426216,-0.7885346059874118,0.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
204,0.0,0.04179115040782076,-1.0299801860887468,0.77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
205,0.0,0.22539416624185749,-0.0641978656834071,0.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
206,0.0,-0.9680254366793812,-0.305643445784742,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
207,0.0,0.04179115040782076,-0.305643445784742,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
208,0.0,-1.8493199126827575,0.17724771441792675,-0.41,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
209,1.0,-0.8762239287623629,1.1430300348232665,-0.85,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
210,1.0,-1.0598269445963997,-0.5470890258860769,0.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
211,1.0,-0.7477018176785367,-0.305643445784742,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
212,0.0,-0.3254148812602527,-0.0641978656834071,-0.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
213,1.0,-1.0598269445963997,-0.0641978656834071,2.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
214,0.0,-0.6926209129283262,-0.5470890258860769,-0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
215,1.0,-0.6926209129283262,-0.305643445784742,0.61,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
216,0.0,-0.41721638917727105,-0.7885346059874118,0.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
217,1.0,0.4089971820758942,2.1088123552286038,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218,0.0,-0.5090178970942896,-0.305643445784742,-0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
220,0.0,-0.5090178970942896,-1.0299801860887468,1.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
221,1.0,0.04179115040782076,-1.0299801860887468,-0.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
223,1.0,-2.16144503960062,-0.0641978656834071,-0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
224,0.0,-0.6926209129283262,-0.7885346059874118,0.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
225,1.0,-1.4270329762644731,-0.305643445784742,-1.45,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
226,1.0,-0.5090178970942896,-0.5470890258860769,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
227,1.0,-0.5090178970942896,-1.2714257661900805,1.51,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
228,1.0,-1.151628452513418,-0.5470890258860769,-1.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
229,1.0,-0.6926209129283262,0.17724771441792675,0.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
230,0.0,-0.5090178970942896,-0.7885346059874118,-1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
231,1.0,-1.2434299604304364,0.4186932945192616,0.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
233,1.0,0.22539416624185749,-1.9957625064940854,-0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
234,0.0,-0.7844224208453445,-0.305643445784742,0.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
235,1.0,0.5926001979099309,1.86736677512727,1.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
236,1.0,0.9598062295780043,1.86736677512727,0.97,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
237,1.0,-0.3254148812602527,-0.0641978656834071,0.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
238,1.0,-1.4270329762644731,0.4186932945192616,-0.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
239,0.0,-0.3254148812602527,-0.7885346059874118,-0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
241,1.0,-0.8762239287623629,-0.305643445784742,-1.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
242,0.0,-1.7942390079325465,-2.2372080865954205,-1.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
